attributo,id,commento_raw,caption,candidato_ok,nuova_classe
Aroma,45,"Nocciola, formaggino",Nocciola e formaggino.,True,OK
Aroma,141,"A proposito della fessure aggiungo : grasso, intuisco e abbasso di mezzo punto il voto","Riguardo alle fessure, percepisco grasso e abbasso di mezzo punto il voto.",True,
Aroma,226,"cotti, animale","Cotti, animale.",True,OK
Aroma,233,fungo,Fungo.,True,OK
Aroma,236,"burro,",Burro.,True,OK
Aroma,242,"difettoso, stantio, legno, crosta di formaggio secca","Il formaggio presenta difetti, con un odore stantio, note di legno e una crosta secca.",True,OK
Aroma,243,"stantio, tostato forte, animale",Si percepisce un forte aroma di tostato e note animali.,True,OK
Aroma,244,brodo....,,True,OK
Aroma,248,"crosta, da grana vecchio, speziato, animale","La crosta ricorda un grana vecchio, con note speziate e animali.",True,OK
Aroma,250,panna cotto,Si avverte un sapore di panna cotta.,True,OK
Aroma,251,muffa,C'è un chiaro sentore di muffa.,True,OK
Aroma,254,aumenta  l-animale,Il sapore tende ad aumentare verso note animali.,True,OK
Aroma,284,"vacca, latte UHT",Il formaggio ha un aroma di vacca e latte UHT.,True,OK
Aroma,294,leg cotto,Si avverte un sapore di legno cotto.,True,OK
Aroma,304,"*burro, brodo ....",Ci sono sentori di burro e brodo.,True,OK
Aroma,342,"crosta, cotto, rancido",La crosta è cotta e presenta un sapore rancido.,True,OK
Aroma,361,lattico acido,C'è un chiaro sapore lattico acido.,True,OK
Aroma,380,retrolfatto latte acidulo....,Il retrogusto è di latte acidulo.,True,OK
Aroma,401,"deciso animale, crosta di grana, muffa, vecchio, stantio in certi pezzi","Si avverte un deciso aroma animale, con crosta di grana, muffa e note stantie in alcuni pezzi.",True,OK
Aroma,404,"gorgonzola...non tipico, acido, disgustoso","Il gorgonzola non è tipico, con un sapore acido e disgustoso.",True,OK
Aroma,413,nota lattea non sentita all-olfatto,La nota lattea non è percepita all'olfatto.,True,OK
Aroma,422,"strano, burro",Ha un aroma strano di burro.,True,OK
Aroma,441,"note lattiche caratteristiche, poco complesso, crosta di formaggio, note fermentate","Presenta note lattiche caratteristiche, è poco complesso, con crosta di formaggio e note fermentate.",True,OK
Aroma,446,"burro, formaggio, brodo...","Ha sentori di burro, formaggio e brodo.",True,OK
Aroma,486,latte poco da grana,Il latte ha poco sapore di grana.,True,OK
Aroma,495,latte animale/letame  poco da grana,"Si percepiscono note di latte animale e letame, con poco sapore di grana.",True,OK
Aroma,501,"cotto quasi bruciato, legna secca vecchia","Ha un sapore cotto quasi bruciato, con note di legna secca vecchia.",True,OK
Aroma,503,panna da nostrano più che grana,Ricorda più la panna da nostrano che il grana.,True,OK
Aroma,504,panna e frutta,Ha note di panna e frutta.,True,OK
Aroma,523,panna vegetale,Ha un aroma di panna vegetale.,True,OK
