id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
1,OK,Provolone,Provolone,Provolone,2019,C0A,Q_02
2,OK,Provolone,Provolone,Provolone,2019,C0M,Q_02
3,OK,Non ha un sapore di grana.,Non da grana,Non da grana,2019,C0G,Q_09
4,OK,Cipolla.,Cipolla,Cipolla,2019,C0L,Q_09
5,OK,"Il campione presenta note aromatiche di latte cotto, con una complessità che arricchisce l'aroma tipico del Grana Trentino.",Prevalgono le note cotte,Prevalgono le note cotte,2019,C0Q,TG_20
6,OK,Si percepisce un sentore di idrocarburi.,Idrocarburi,Idrocarburi,2019,C0H,TG_26
7,OK,"L'aroma è quasi impercettibile, con una bassa intensità che non rispecchia le caratteristiche tipiche del Grana Trentino.",Aroma quasi impercettibile,Aroma quasi impercettibile,2019,C0D,TG_28
8,OK,"Il campione presenta un aroma buono, ma con un'intensità poco marcata, risultando meno complesso rispetto agli standard del Grana Trentino.","Buono, ma poco intenso","Buono, ma poco intenso",2019,C0A,TG_19
9,OK,"L'aroma è leggero, con note che richiamano la tipicità del Grana Trentino.",Leggero,Leggero,2019,C0D,TG_24
10,OK,"Si percepisce una leggera fermentazione, che contribuisce alla complessità dell'aroma.",Leggera fermentazione,Leggera fermentazione,2019,C0D,TG_35
11,OK,"Il campione presenta un leggero affumicato, che arricchisce l'aroma senza sovrastare le note tipiche.",Leggero affumicato,Leggero affumicato,2019,C0Q,TG_35
12,ILLEGGIBILE,,Oggi sono raffreddato,Oggi sono raffreddato,2019,C0C,TG_04
13,OK,"L'aroma è molto debole, con una scarsa complessità che non rispecchia le caratteristiche del Grana Trentino.",Molto debole,Molto debole,2019,C0H,TG_08
14,OK,"Si avvertono note di erbe amare, che aggiungono una dimensione interessante all'aroma.",Erbe amare,Erbe amare,2019,C0D,TG_19
15,OK,Si avverte un aroma immangiabile con evidenti note di fermentazione anomala.,Immangiabile  Fermentazione da Clostridium sporogenes,Immangiabile  Fermentazione da Clostridium sporogenes,2019,C0F,Q_02
16,OK,"La texture è troppo friabile, il che influisce negativamente sull'esperienza aromatica.","Texture  da modificare, troppo friabile.","Texture  da modificare, troppo friabile.",2019,C0Q,TG_14
17,OK,"Si percepisce un sentore metallico, che non è caratteristico del Grana Trentino.",Metallico,Metallico,2019,C0Q,TG_26
18,OK,"L'aroma è poco persistente e svanisce rapidamente, non mantenendo le caratteristiche attese.","Poco persistente, sparisce subito","Poco persistente, sparisce subito",2019,C0C,TG_28
19,OK,Provolone o nostrano lievemente piccante.,Provolone o nostrano lievemente piccante,Provolone o nostrano lievemente piccante,2019,C0I,Q_02
20,OK,"L'aroma è troppo volatile e sfugge rapidamente, non permettendo una valutazione adeguata.","Troppo volatile, sfugge subito","Troppo volatile, sfugge subito",2019,C0C,TG_28
21,OK,Il campione presenta una solubilità poco marcata.,Poco solubile,Poco solubile,2019,C0P,TG_19
22,OK,"Il campione mostra lievi note stallatiche, ma non su tutti i pezzi.",Leggermente da stalla ma non su tutti i pezzi,Leggermente da sstalla ma non su tutti i pezzi,2019,C0D,TG_08
23,OK,Cipolla.,Cipolla,Cipolla,2019,C0F,TG_26
24,OK,Lettiera.,Lettiera,Lettiera,2019,C0E,TG_26
25,OK,Il campione presenta una particolare sensibilità al fermentato.,Particolare sensibilità mia al fermentato,Particolare sensibilità mia al fermentato,2019,C0D,TG_14
26,OK,Crauti.,Crauti,Crauti,2019,C0M,TG_14
27,OK,Il campione ha un'intensità poco marcata.,Scarico,poco intenso,2019,C0O,TG_20
28,OK,Il campione presenta note metalliche.,Metallico,Metallico,2019,C0H,TG_26
29,ILLEGGIBILE,,"Ok ti sentiti tutti molto leggeri di profumo. Forse perché  le mie vie nasali non sono per vie, ahimè","Ok ti sentiti tutti molto leggeri di profumo. Forse perché  le mie vie nasali non sono per vie, ahimè",2019,C0B,TG_04
30,OK,Il campione mostra note vegetali balsamiche.,Vegetale balsamico,Vegetale balsamico,2019,C0I,Q_09
31,OK,Il campione potrebbe beneficiare di una maggiore stagionatura.,Maggiore stagionatura,Maggiore stagionatura,2019,C0P,TG_19
32,OK,Il campione potrebbe beneficiare di una maggiore stagionatura.,Maggiore stagionatura,Maggiore stagionatura,2019,C0Q,TG_19
33,OK,Il campione presenta note tostate.,Tostato,Tostato,2019,C0G,TG_19
34,OK,Il campione risulta poco caratteristico.,Poco caratteristico,Poco caratteristico,2019,C0G,TG_20
35,OK,Il campione presenta note ossidate.,Passato,ossidato,2019,C0Q,TG_20
36,OK,Il campione mostra sentori di ananas.,Ananas,Ananas,2019,C0C,Q_02
37,OK,Il campione ha un aroma leggerissimo.,Leggerissimo,Leggerissimo,2019,C0C,TG_04
38,OK,"Il campione mostra una buona intensità retroolfattiva, con un aroma che rispecchia le caratteristiche tipiche del Grana Trentino, senza note particolari.",Quando non scrivo nulla è perché  non trovo niente di diverso dal profumo.  Buona intensità retroolfattiva,Quando non scrivo nulla è perché  non trovo niente di diverso dal profumo.  Buona intensità retrolfattivoiva,2019,C0H,TG_04
39,OK,Il campione appare più povero all'olfatto.,Più povero che all' olfatto,Più povero che all' olfatto,2019,C0M,TG_04
40,OK,L'aroma del campione non è confacente al Grana Trentino.,Aroma non confacente il trenting,Aroma non confacente il trenting,2019,C0G,TG_04
41,FUORI_ATTRIBUTO,Glutammato dominante.,Glutammato dominante,Glutammato dominante,2019,C0N,TG_20
42,OK,Inesistente.,Inesistente,Inesistente,2019,C0C,TG_04
43,OK,Erbe amare e carne lessa.,"Erbe amare, carne lessa","Erbe amare, carne lessa",2019,C0D,TG_19
44,OK,Carne lessa.,Carne lessa,Carne lessa,2019,C0E,TG_19
45,OK,Nocciola e formaggino.,"Nocciola, formaggino","Nocciola, formaggino",2019,C0E,TG_20
46,OK,"Il campione presenta un aroma complesso e tipico del Grana Trentino, con note di insilato e una piacevole friabilità, arricchito da sentori di cristalli di tirosina e una sottocrosta ben definita.",IN generale oggi naso poco libero. Forse le intensità sono state sottovalutate,IN generale oggi naso poco libero. Forse le intensità sono state sottovalutate,2019,C0Q,TG_04
47,OK,Carne lessa.,Carne lessa,Carne lessa,2019,C0O,TG_19
48,OK,Carne lessa.,Carne lessa,Carne lessa,2019,C0A,TG_19
49,OK,Carne lessa.,Carne lessa,Carne lessa,2019,C0G,TG_19
50,OK,"Il campione presenta note di erbe amare, che possono contribuire a una complessità aromatica interessante.",Erbe amare,Erbe amare,2019,C0A,TG_20
51,OK,"Il campione mostra una complessità limitata, con una nota di glutammato prevalente che ne caratterizza l'aroma.","Poco complesso, nota di glutammato prevalente","Poco complesso, nota di glutammato prevalente",2019,C0B,TG_20
52,OK,"Il campione presenta una complessità ridotta, con note lattiche di panna e yogurt che emergono.","Poco complesso, nota lattica di panna ma anche di yogurt","Poco complesso, nota lattica di panna ma anche di yogurt",2019,C0E,TG_20
53,OK,Sapone.,Sapone,Sapone,2019,C0M,TG_20
54,FUORI_ATTRIBUTO,Inconsistente.,Inconsistente,Inconsistente,2019,C0C,TG_04
55,OK,Cacao amaro vecchio e medicinale.,"Cacao amaro vecchio, medicinale","Cacao amaro vecchio, medicinale",2019,C0F,TG_19
56,OK,"Il campione presenta una notevole presenza di frutta, che arricchisce l'aroma complessivo.",Tanta frutta,Tanta frutta,2019,C0H,TG_04
57,OK,"Il campione mostra sentori di nostrano, che si alternano, risultando non tipici per il Grana Trentino.","Al primo olfatto e poi all'Aroma sentori di nostrano, che vanno e vengono, non tipici","Al primo olfatto e poi all'Aroma sentori di nostrano, che vanno e vengono, non tipici",2019,C0P,TG_04
58,ILLEGGIBILE,,Non me lo fa salvare!,Non me lo fa salvare!,2019,C0P,TG_24
59,CONFORME,"Il campione si presenta conforme agli standard, con un aroma equilibrato e tipico del Grana Trentino.",Neutro,Neutro,2020,C0G,Q_10
60,OK,"Il campione è evoluto, ma presenta carenze sulle note lattiche, con una predominanza di formaggio cotto.","Evoluto, carente sulle note lattiche, formaggio cotto","Evoluto, carente sulle note lattiche, formaggio cotto",2020,C0Q,TG_20
61,OK,"Il campione presenta un aroma leggerissimo, con una delicatezza che potrebbe risultare poco distintiva.",Leggerissimo,Leggerissimo,2020,C0D,TG_04
62,OK,"Il campione mostra un aroma fievole, con una bassa intensità e complessità.",Fievole,Fievole,2020,C0E,TG_04
63,OK,"Il campione ha un aroma lievissimo, che risulta poco percepibile al palato.",Lievissimo,Lievissimo,2020,C0I,TG_04
64,OK,"Il campione presenta note fermentate, che richiamano sentori di latte acido.",Fermentato,Fermentato,2020,C0D,TG_20
65,OK,"Il campione mostra una nota saponata, che potrebbe indicare un difetto chimico.",Nota saponata,Nota saponata,2020,C0E,TG_20
66,OK,"Il campione presenta una nota di sapone, suggerendo una possibile anomalia nell'aroma.",Nota di sapone,Nota di sapone,2020,C0H,TG_20
67,OK,Sentore di ragù.,Sentore di ragù,Sentore di ragù,2020,C0I,TG_28
68,OK,"Il campione ha un aroma poco intenso, con difficoltà a distinguere i pochi aromi presenti.","Poco intenso, gio avuto difficoltà a distinguere pochi aromi","Poco intenso, gio avuto difficoltà a distinguere pochi aromi",2020,C0M,TG_28
69,CONFORME,"Il campione rispetta le normative, mostrando un aroma tipico e ben bilanciato del Grana Trentino.",Neutrale,Neutrale,2020,C0O,Q_10
70,OK,"Il campione presenta un aroma putrido, che indica un difetto significativo.",Vomitevole,putrido,2020,C0B,TG_04
71,OK,"Il campione mostra una moderata intensità aromatica, tipica del Grana Trentino.",Moderata intensità,Moderata intensità,2020,C0F,TG_04
72,OK,"Il campione presenta un aroma non gradevole, che potrebbe compromettere la qualità.",Non gradevole,Non gradevole,2020,C0F,TG_24
