id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista,peso
1,OK,Sapore di balsamico e liquirizia.,Balsamico liquirizia,Balsamico liquirizia,2019,C0E,Q_09,1.0
2,OK,Profumo di erbe balsamiche.,Erbe Balsamiche,Erbe Balsamiche,2019,C0N,Q_09,1.0
3,OK,Note di caffè e cacao amaro.,"Caffè,cacao amaro","Caffè,cacao amaro",2019,C0G,TG_19,1.0
4,ILLEGGIBILE,,Solo una porzione su 4 è fortemente negativa,Solo una porzione su 4 è fortemente negativa,2019,C0Q,Q_02,1.0
5,ILLEGGIBILE,,Vegetale balsamico,vegetaleetale balsamico,2019,C0L,Q_09,1.0
6,OK,L'intensità è bassissima.,Intensità bassissima,Intensità bassissima,2019,C0L,TG_04,1.0
7,OK,Presenta note acre.,Acre,Acre,2019,C0R,TG_12,1.0
8,OK,Il campione risulta troppo delicato.,Troppo delicato,Troppo delicato,2019,C0L,TG_19,1.0
9,OK,Si percepisce una quasi nota acetica.,Quasi nota acetica,Quasi nota acetica,2019,C0I,TG_20,1.0
10,OK,Il profumo è poco intenso.,Poco intenso,Poco intenso,2019,C0Q,TG_20,1.0
11,OK,Su uno dei pezzi si notano note di ossidato.,"Su uno dei pezzi, note di ossidato","Su uno dei pezzi, note di ossidato",2019,C0N,TG_14,1.0
12,ILLEGGIBILE,,Y0gurth,Y0gurth,2019,C0O,TG_24,1.0
13,OK,Il profumo è intenso.,Intenso,Intenso,2019,C0D,TG_26,1.0
14,OK,Presenta note di miele e un'intensità elevata.,"Miele,intenso","Miele,intenso",2019,C0N,TG_26,1.0
15,OK,Il campione ha un profumo leggero.,Leggero,Leggero,2019,C0D,Q_09,1.0
16,OK,"Leggero, con una nota pungente all'inizio che ricorda il burro.","Leggero, pungente all'inizio da butirrico?","Leggero, pungente all'inizio da butirrico?",2019,C0N,Q_09,1.0
17,OK,Il profumo è neutro.,Neutro,Neutro,2019,C0D,TG_13,1.0
18,OK,"Presenta note erbacee, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca.","Erbacea alo, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca","Erbacea alo, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca",2019,C0Q,TG_14,1.0
19,OK,Si percepiscono note di nocciola.,Nocciola,Nocciola,2019,C0Q,TG_24,1.0
20,OK,Odore di cavolo cotto.,Cavolo cotto,Cavolo cotto,2019,C0D,TG_26,1.0
21,OK,Profumo di pozzo e acqua stagnante.,"Pozzo, acqua stagnante","Pozzo, acqua stagnante",2019,C0M,TG_20,1.0
22,OK,Si percepisce un sentore di alcol.,Alcol,Alcol,2019,C0B,TG_24,1.0
23,OK,Si avverte un sentore di solvente acetonico.,Solvente acetone,Solvente acetone,2019,C0L,TG_24,1.0
24,OK,Il profumo del campione è intenso.,Intenso,Intenso,2019,C0D,TG_26,1.0
25,OK,Il profumo del campione è debolissimo.,Debolissimo,Debolissimo,2019,C0H,TG_26,1.0
26,OK,Si percepisce un aroma di fermentazione anomala.,Fermentazione da Clostridium sporogenes,Fermentazione da Clostridium sporogenes,2019,C0F,Q_02,1.0
27,OK,Il profumo del campione è leggero.,Leggero,Leggero,2019,C0O,Q_09,1.0
28,OK,Il profumo del campione è debole.,Profumo debole,Profumo debole,2019,C0R,TG_13,1.0
29,OK,Sapore di cacao.,Cacao,Cacao,2019,C0F,TG_19,1.0
30,OK,Il profumo del campione presenta bassa intensità.,Bassa intensità,Bassa intensità,2019,C0O,TG_19,1.0
31,OK,Si avvertono soprattutto note di uovo sodo e zolfo.,"Soprattutto uovo sodo, zolfo","Soprattutto uovo sodo, zolfo",2019,C0P,TG_19,1.0
32,OK,Si percepisce un odore di teli sporchi.,Teli sporchi,Teli sporchi,2019,C0G,Q_09,1.0
33,OK,Si avverte un profumo di erbe balsamiche.,Erbe balsamiche,Erbe balsamiche,2019,C0I,Q_09,1.0
34,OK,Si percepisce un sentore di alito di caffe.,Alito di caffè,Alito di caffè,2019,C0H,TG_19,1.0
35,OK,Il profumo del campione è poco intenso.,Poco intenso,Poco intenso,2019,C0Q,TG_26,1.0
36,OK,Note vegetali e balsamiche.,Vegetale balsamico,vegetaleetale balsamico,2019,C0M,Q_09,1.0
37,OK,"Si avverte un odore di cuoio, simile a suola di scarpe o gomma.","Ho segnato cuoio ma in realtà ho sentito odore di suola di scarpe, o gomma","Ho segnato cuoio ma in realtà ho sentito odore di suola di scarpe, o gomma",2019,C0E,TG_28,1.0
38,OK,"Si percepisce un sentore di grasso animale ossidato, simile a salame invecchiato.",Sentore di grasso animale ossidato (eg: salame invecchiato),Sentore di grasso animale ossidato (eg: salame invecchiato),2019,C0O,TG_04,1.0
39,OK,Si percepisce un sentore di cipolla.,Cipolla,Cipolla,2019,C0E,TG_26,1.0
40,OK,"Olfatto con ammoniaca solo all'apertura, seguito da un profumo troppo delicato.","Ammoniaca solo alla apertura,dopo profumo troppo delicato","Ammoniaca solo alla apertura,dopo profumo troppo delicato",2019,C0N,TG_19,1.0
41,OK,Il sapore è troppo delicato.,Troppo delicato,Troppo delicato,2019,C0A,TG_19,1.0
42,OK,Note di cacao e alito di caffè.,"Cacao, alito da caffè","Cacao, alito da caffè",2019,C0E,TG_19,1.0
43,OK,Profumo vegetale e balsamico.,Vegetale balsamico,vegetaleetale balsamico,2019,C0N,Q_09,1.0
44,OK,Odore di scarico.,Scarico,Scarico,2019,C0P,Q_09,1.0
45,OK,"Il gorgonzola suscita dei dubbi, ma non penalizzo troppo.","Il gorgonzola é un dubbio, non penalizzo troppo","Il gorgonzola é un dubbio, non penalizzo troppo",2019,C0I,TG_04,1.0
