id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
1,OK,C'è un buon equilibrio e complessità delle note.,Molto equilibrio e complessità  delle note,Molto equilibratorio e complessità  delle note,2019,C0B,TG_08
2,OK,"Il sapore è salato e piccante, ma disarmonico.",Salato e piccante disarmonico,Salato e piccantecante disarmonico,2019,C0F,TG_08
3,OK,Il sapore presenta un ottimo equilibrio tra le diverse note gustative.,Ottimo equilibrio tra le diverse note,Ottimo equilibratorio tra le diverse note,2019,C0N,TG_08
4,OK,Presenta una leggera astringenza.,Leggermente  astringente,Leggermente  astringente,2019,C0R,TG_12
5,OK,Si avverte una lievissima nota amara.,Lievissima nota amara,Lievissima nota amara,2019,C0D,TG_20
6,OK,"Il Grana Trentino DOP presenta un sapore abbastanza equilibrato, con una buona armonia tra le diverse note gustative.",Abbastanza equilibrato,Abbastanza equilibratorato,2019,C0Q,TG_20
7,OK,Il sapore presenta una tendenza dolce prevalente rispetto alle altre componenti gustative.,Tendenza dolce prevalente,Tendenza dolce prevalente,2019,C0R,TG_20
8,OK,Il sapore è molto blando.,Il sapore è molto blando,Il sapore è molto blando,2019,C0D,TG_28
9,OK,È insapore.,Insapore,Insapore,2019,C0N,TG_13
10,OK,Ha un leggero retrogusto amaro.,Leggero  amaro,Leggero  amaro,2019,C0N,TG_24
11,OK,Ha poco sapore.,"Poco Miami,","Poco umami,",2019,C0B,TG_08
12,OK,"È amaro, con il salato che rispetta finemente il piccante.","Amaro, e il salato finemente rispetto al piccante","Amaro, e il salato finemente rispetto al piccantecante",2019,C0D,TG_08
13,OK,"C'è un buon equilibrio, ma manca il dolce ed è un po' troppo amaro.","Buon equilibrio, manca il dolce, e un po' troppo amaro","Buon equilibratorio, manca il dolce, e un po' troppo amaro",2019,C0L,TG_08
14,ILLEGGIBILE,,Difficile da giudicare perché immangiabile,Difficile da giudicare perché immangiabile,2019,C0F,Q_02
15,OK,Il pizzicore moderato alla lingua sovrasta.,Il pizzicore moderato alla lingua sovrasta,Il pizzicore moderato alla lingua sovrasta,2019,C0O,Q_02
16,OK,È poco salato.,Poco salato,Poco salato,2019,C0P,TG_11
17,OK,Presenta astringenza.,Astringente,Astringente,2019,C0P,TG_13
18,OK,È dolciastro più che dolce.,Dolciastro più che.dolce,Dolciastro più che.dolce,2019,C0I,TG_19
19,OK,È equilibrato.,Equilibrato,equilibratorato,2019,C0O,Q_02
20,OK,È poco salato.,Poco salato,Poco salato,2019,C0R,TG_11
21,OK,Non ha caratteristiche da formaggio grana.,Non da grana,Non da grana,2019,C0C,TG_19
22,OK,Il sapore presenta una piccantezza fortissima e persistente nel finale.,Piccante fortissimo e persistente,piccantecante fortissimo e persistente,2019,C0B,TG_28
23,OK,Il sapore risulta leggermente eccessivo nella componente piccante.,Un Po troppo piccante,Un Po troppo piccantecante,2019,C0E,TG_08
24,CONFORME,Il Grana Trentino DOP si distingue per un equilibrio gustativo che soddisfa le aspettative di un formaggio di qualità.,Buon equilibrio,Buon equilibratorio,2019,C0P,TG_08
25,OK,"Il sapore del Grana Trentino DOP si presenta equilibrato, ma con una piccantezza che risulta eccessiva.",Un Po in eccesso il piccante,Un Po in eccesso il piccantecante,2019,C0H,TG_08
26,CONFORME,"Il Grana Trentino DOP offre un buon equilibrio, risultando gradevole al palato e conforme agli standard di qualità.",Buon equilibrio,Buon equilibratorio,2019,C0E,TG_08
27,OK,Il sapore del Grana Trentino DOP risulta troppo sbilanciato rispetto alle altre note gustative.,Troppo rispetto le altre note,Troppo rispetto le altre note,2019,C0Q,TG_08
28,OK,Il sapore del Grana Trentino DOP presenta solo una leggera acidità.,Solo leggermente  acido,Solo leggermente  acido,2019,C0E,TG_24
29,OK,Il sapore del Grana Trentino DOP si presenta con una leggera sapidità.,Leggero salato,Leggero salato,2019,C0F,TG_24
30,ILLEGGIBILE,,Non me lo ricordavo e mi sono dimenticato di scriverlo su carta,Non me lo ricordavo e mi sono dimenticato di scriverlo su carta,2019,C0O,Q_09
31,OK,Il sapore del Grana Trentino DOP risulta troppo piccante rispetto alle altre sensazioni gustative.,Troppo pi fante rispetto alle altre sensazioni,Troppo piccante rispetto alle altre sensazioni,2019,C0A,TG_08
32,OK,Il sapore del Grana Trentino DOP presenta solo una leggera sapidità.,Solo leggermente  sapido,Solo leggermente  sapido,2019,C0C,TG_24
33,OK,Il sapore del Grana Trentino DOP presenta una nota leggermente amara.,Nota leggermente amara,Nota leggermente amara,2019,C0C,TG_35
34,OK,Il sapore del Grana Trentino DOP presenta un piccante che risulta eccessivo.,Un Po di piccante  di troppo,Un Po di piccantecante  di troppo,2019,C0B,TG_08
35,OK,"Il sapore del Grana Trentino DOP presenta molte note, ma non risultano omogenee.","Molte note ma non omogenee,","Molte note ma non omogenee,",2019,C0I,TG_08
36,OK,Il sapore del Grana Trentino DOP risulta troppo piccante rispetto alle altre note.,Troppo piccante rispetto alle altre note,Troppo piccantecante rispetto alle altre note,2019,C0P,TG_08
37,OK,Il sapore del Grana Trentino DOP presenta un eccesso di sale.,Eccesso di sale,Eccesso di sale,2019,C0R,TG_08
38,OK,Il sapore del Grana Trentino DOP presenta un umami forse in eccesso.,Umami forse in eccesso,Umami forse in eccesso,2019,C0D,TG_08
39,OK,Il sapore del Grana Trentino DOP risulta troppo piccante.,Troppo pccante,Troppo pccante,2019,C0H,TG_08
40,OK,Il sapore del Grana Trentino DOP presenta solo una leggera sapidità.,Solo leggermente sapido!,Solo leggermente sapido!,2019,C0Q,TG_24
