id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista,peso
1,FUORI_ATTRIBUTO,Ci sono macchie rosate difficili da vedere.,Macchie rosate difficili da vedere,Macchie rosate difficili da vedere,2019,C0C,Q_02,1.0
2,FUORI_ATTRIBUTO,C'è un alone quasi bianco di 1 cm.,Alone quasi bianco di 1cm,Alone quasi bianco di 1cm,2019,C0F,TG_28,1.0
3,FUORI_ATTRIBUTO,Si osserva una fascia bianca con una zona rosa diffusa.,Fascia bianca con zona diffusa rosa,Fascia bianca con zona diffusa rosa,2019,C0G,Q_09,1.0
4,ILLEGGIBILE,,Peccato,Peccato,2019,C0G,TG_19,1.0
5,FUORI_ATTRIBUTO,Ci sono molte macchie rosa che formano una fascia.,Molte macchie rosa che ddanno una Fascia,Molte macchie rosa che ddanno una Fascia,2019,C0L,Q_09,1.0
6,FUORI_ATTRIBUTO,C'è una fascia più chiara sotto un piatto.,Fascia più chiara sotto 1 piatto,Fascia più chiara sotto 1 piatto,2019,C0Q,Q_09,1.0
7,OK,Il campione presenta un alone centrale molto carico.,Alone  centrale  molto carico,Alone  centrale  molto carico,2019,C0D,TG_28,1.0
8,OK,Il campione presenta un alone centrale rosato.,Alone centrale  rosato,Alone centrale  rosato,2019,C0N,TG_28,1.0
9,CONFORME,"Il campione presenta una pasta con una colorazione anomala, caratterizzata da una macchia grigio-rosa.",Macchia grigio rosa NON CONFORME,Macchia grigio rosa NON CONFORME,2019,C0F,Q_02,0.5
10,OK,"Il campione presenta una piccola macchia rosa, mentre il resto è più che discreto.","Piccola macchia rosa, più che discreto il resto","Piccola macchia rosa, più che discreto il resto",2019,C0O,TG_19,1.0
11,OK,Il campione presenta un alone rosa centrale.,Alone rosa centrale,Alone rosa centrale,2019,C0H,Q_09,1.0
12,OK,Il campione presenta un alone centrale rosato.,Alone centrale rosato,Alone centrale rosato,2019,C0M,TG_28,1.0
13,FUORI_ATTRIBUTO,Ci sono numerose e grosse macchie rosate.,Numerose e grosse macchie rosate,Numerose e grosse macchie rosate,2019,C0O,TG_28,1.0
14,FUORI_ATTRIBUTO,L'alone è più verso un piatto che al centro.,Alone più verso un piatto che centrale,Alone più verso un piatto che centrale,2019,C0C,TG_28,1.0
15,OK,Il campione presenta un alone tendente al rosato.,Alone tendente al rosato,Alone tendente al rosato,2019,C0C,TG_19,1.0
16,FUORI_ATTRIBUTO,C'è una macchia grigio-verde e una fascia più chiara sotto un piatto.,Una macchia grigio verde e fascia più chiara sotto un piatto,Una macchia grigio verde e fascia più chiara sotto un piatto,2019,C0M,Q_09,1.0
17,FUORI_ATTRIBUTO,C'è una piccola macchia scura.,Una piccola macchia scura,Una piccola macchia scura,2019,C0M,TG_12,1.0
18,FUORI_ATTRIBUTO,Il colore rosato è presente nella pasta attorno all'ago.,Colore rosato nella pasta attorno all'ago,Colore rosato nella pasta attorno all'ago,2019,C0I,Q_09,1.0
19,FUORI_ATTRIBUTO,C'è un'area rosata in corrispondenza di una bollatura allungata.,Area rosata in corrispondenza di una bollatura allungata,Area rosata in corrispondenza di una bollatura allungata,2019,C0I,TG_04,1.0
20,FUORI_ATTRIBUTO,Il colore è molto chiaro ma presenta diverse tonalità.,Colore molto chiaro ma di diverse tonalità,Colore molto chiaro ma di diverse tonalità,2019,C0E,Q_02,1.0
21,FUORI_ATTRIBUTO,L'alone centrale è leggerissimo.,Alone centrale leggerissimo,Alone centrale leggerissimo,2019,C0N,TG_04,1.0
22,FUORI_ATTRIBUTO,Il colore tende al chiaro.,Tende al chiaro,Tende al chiaro,2019,C0M,TG_26,1.0
23,FUORI_ATTRIBUTO,"Sotto un piatto, la pasta disidratata ha un colore biancastro.",Sotto un piatto pasta disidratata colore biancastro,Sotto un piatto pasta disidratata colore biancastro,2019,C0L,Q_09,1.0
24,FUORI_ATTRIBUTO,Non è di colore paglierino.,Non paglierino,Non paglierino,2019,C0N,TG_04,1.0
25,CONFORME,"Il campione mostra lievi variazioni di colore, mantenendo comunque una buona uniformità.",Le differenze di colore sono minime,Le differenze di colore sono minime,2019,C0O,TG_04,0.5
26,FUORI_ATTRIBUTO,C'è un alone centrale di colore rosato.,Alone centrale rosato,Alone centrale rosato,2019,C0C,TG_28,1.0
27,FUORI_ATTRIBUTO,L'alone è rivolto più verso uno dei due piatti.,Alone è rivolto più verso uno dei due piatti,Alone è rivolto più verso uno dei due piatti,2019,C0L,TG_28,1.0
28,FUORI_ATTRIBUTO,Il sottocrosta tende al rosato e colora anche parte della pasta circostante.,Il sottocrosta è tendente al rosato e colora anche parte della pasta circostante,Il sottocrosta è tendente al rosato e colora anche parte della pasta circostante,2019,C0O,TG_28,1.0
29,OK,"Il campione presenta una pasta di colore giallo saturo, uniforme e priva di macchie.","Giallo saturo, ma omogeneo","Giallo saturo, ma omogeneo",2019,C0M,TG_04,1.0
30,FUORI_ATTRIBUTO,Il colore è bianco grigio.,Bianco grigio,Bianco grigio,2019,C0E,TG_14,1.0
31,FUORI_ATTRIBUTO,Alone arancio rosato.,Alone arancio rosato,Alone arancio rosato,2019,C0O,TG_19,1.0
32,FUORI_ATTRIBUTO,"Non ho considerato la macchia dovuta a una correzione dello scalzo; se si considera il difetto, il voto è 5,0.","Non ho tenuto conto della macchia dovuta ad una ""correzione"" dello scalzo   Se va considerato il difetto il voto è 5,0","Non ho tenuto conto della macchia dovuta ad una ""correzione"" dello scalzo   Se va considerato il difetto il voto è 5,0",2019,C0M,Q_02,1.0
33,FUORI_ATTRIBUTO,Pasta disidratata sotto crosta.,Pasta disidratata sotto crosta,Pasta disidratata sotto crosta,2019,C0B,Q_09,1.0
34,FUORI_ATTRIBUTO,"Zona con fitti puntini neri, probabilmente muffa.",Zona con fitti puntini neri (muffa?),Zona con fitti puntini neri (muffa?),2019,C0M,Q_09,1.0
35,OK,"Il campione presenta un alone centrale davvero minimo, di 10 cm, su di un giallo paglierino chiarissimo, che non penalizza troppo la valutazione.","Alone centrale davvero minimo, 10 cm, su di un giallo paglierino chiarissimo. Non penalizza troppo","Alone centrale davvero minimo, 10 cm, su di un giallo paglierino chiarissimo. Non penalizza troppo",2019,C0E,TG_04,1.0
36,FUORI_ATTRIBUTO,Piccolo alone centrale.,Piccolo alone centrale,Piccolo alone centrale,2019,C0E,TG_12,1.0
37,FUORI_ATTRIBUTO,"Colore buono, escludendo la zona del difetto vicino allo scalzo.",Colore buono senza calcolare la zona del difetto vicino allo scalzo,Colore buono senza calcolare la zona del difetto vicino allo scalzo,2019,C0M,TG_12,1.0
38,FUORI_ATTRIBUTO,Grossa macchia di muffa.,Grossa macchia di muffa,Grossa macchia di muffa,2019,C0M,TG_14,1.0
39,FUORI_ATTRIBUTO,Colore bianco cipria.,Bianco cipria,Bianco cipria,2019,C0E,TG_19,1.0
40,FUORI_ATTRIBUTO,Presenza di muffa laterale.,Presenza di ingresso di muffa laterale,Presenza di ingresso di muffa laterale,2019,C0M,TG_20,1.0
41,FUORI_ATTRIBUTO,Una parte è sporca.,Sporca una parte,Sporca una parte,2019,C0M,TG_24,1.0
42,OK,"Il campione presenta una pasta di colore paglierino chiaro, uniforme e priva di macchie, con una frattura scalza che evidenzia una leggera microocchiatura e la presenza di cristalli di tirosina. Tuttavia, è stata notata una potenziale macchia al centro, non considerata nel voto.",Presenza di una potenziale macchia al centro  NON CONSIDERATA NEL VOTO perché nascosta dal taglio a coltello,Presenza di una potenziale macchia al centro  NON CONSIDERATA NEL VOTO perché nascosta dal taglio a coltello,2019,C0F,Q_02,1.0
43,OK,"La pasta del campione è abbastanza omogenea, con una tonalità di giallo paglierino.",abbastamza omogeneo,abbastamza omogeneo,2019,C0F,TG_04,1.0
44,OK,Il campione mostra un alone leggero.,Alone leggero,Alone leggero,2019,C0I,TG_04,1.0
45,OK,Il campione presenta un alone leggerissimo.,Alone leggerissimo!,Alone leggerissimo!,2019,C0A,TG_24,1.0
46,OK,Il campione evidenzia un alone e una sfumatura verde appena accennati.,Alone e verde appena accennati!,Alone e verde appena accennati!,2019,C0P,TG_24,1.0
47,OK,Il campione risulta appena più saturo al centro.,Appena più  saturo al centro,Appena più  saturo al centro,2019,C0A,TG_04,1.0
48,OK,Il campione appare appena più chiaro ai bordi.,Appena più  chiara ai bordi,Appena più  chiara ai bordi,2019,C0G,TG_04,1.0
49,OK,Il campione presenta una fascia centrale più scura piuttosto che un alone.,Più che alone è una fascia centrale più scura,Più che alone è una fascia centrale più scura,2019,C0A,TG_28,1.0
50,OK,"Il campione mostra un alone leggero, ma non penalizzo troppo.",Alone leggero. Non penalizzo troppo,Alone leggero. Non penalizzo troppo,2020,C0G,TG_04,1.0
51,OK,"Il campione presenta un alone centrale molto leggero, senza penalizzazioni significative.",Alone centrale molto leggero. Non penalizzano troppo,Alone centrale molto leggero. Non penalizzano troppo,2020,C0Q,TG_04,1.0
52,OK,Il campione evidenzia un alone centrale poco marcato.,Alone centrale poco marcato,Alone centrale poco marcato,2020,C0G,TG_20,1.0
53,OK,Il giallo verde nel campione è solo accennato.,Il giallo verde è  solo accennato,Il giallo verde è  solo accennato,2020,C0Q,TG_24,1.0
54,OK,La crosta presenta un alone rosato che si estende a tutta la pasta.,La crosta da Un alone rosato a tutta la pasta,La crosta da Un alone rosato a tutta la pasta,2020,C0G,TG_28,1.0
55,OK,Il campione mostra una sottocrosta biancastra.,1 Sottocrosta biancastro,1 Sottocrosta biancastro,2020,C0M,TG_04,1.0
56,OK,"Il campione presenta un alone centrale particolarmente rosato, con un bordo più tendente al giallo chiaro.","Alone centrale particolarmente rosato, bordo più tendente al giallo chiaro","Alone centrale particolarmente rosato, bordo più tendente al giallo chiaro",2020,C0D,TG_28,1.0
57,OK,L'alone è spostato verso un piatto.,Alone spostato verso un piatto,Alone spostato verso un piatto,2020,C0I,TG_28,1.0
